Subject,Image-based PDFs,Text-based PDFs,Corrupted PDFs,Total PDFs
الاجتماعيات,0,41,0,41
التربية الاسلامية,0,32,0,32
التكنولوجيا الصناعية,0,14,0,14
الرياضيات,44,52,0,96
الرياضيات – خيار فرنسية,36,59,0,95
الفيزياء والكيمياء,0,94,0,94
الفيزياء والكيمياء – خيار فرنسية,33,218,1,252
اللغة العربية,0,51,0,51
اللغة الفرنسية,0,15,0,15
المعلوميات,16,0,0,16
علوم الحياة والارض,4,19,0,23
علوم الحياة والارض – خيار فرنسية,20,1,0,21
Total,153,596,1,750
