Subject,Image-based PDFs,Text-based PDFs,Corrupted PDFs,Total PDFs
الاجتماعيات,0,28,0,28
التربية الاسلامية,1,24,2,27
الرياضيات,54,54,0,108
اللغة العربية,0,28,0,28
اللغة الفرنسية,0,75,0,75
النشاط العلمي,0,14,0,14
Total,55,223,2,280
